Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate
MIT,Common Stock,Mason Industrial Technology Inc,None,1826058,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,110 EAST 59TH STREET NEW YORK NY UNITED STATES,December,2021-09-30,609375000,None,None,None,0.08,None,None,-0.022,0,0,0,0,7.14,0,0,-0.022,0,0,None,-,-,-,-,-,-,None,9.9,9.41,9.74,9.72,50000000,None,None
MITAU,Common Stock,Coliseum Acquisition Corp. Unit,Coliseum Acquisition Corp. The company is headquartered in New York New York.,1847440,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,80 PINE STREET SUITE 3202 SUITE 3202 NEW YORK NY UNITED STATES,December,2021-09-30,None,None,None,None,7.5,None,None,None,0,0,0,0,0,0,0,0,0,0,None,-,-,-,-,-,-,None,9.98,9.37,9.89,9.89,0,None,None
MITC,Common Stock,MeaTech 3D Ltd,MeaTech 3D Ltd. a technology company focuses on the development and licensing of customizable 3D printing technology biotechnology processes and manufacturing processes for food processing companies and food retailers to make protein without sacrificing animals. The company is headquartered in Ness Ziona Israel.,1828098,NASDAQ,USD,USA,TECHNOLOGY,GENERAL,NONE,December,2021-09-30,82049000,None,None,None,3.28,None,None,-1.38,0,0,0,-0.293,-0.505,0,0,-1.38,0,0,None,-,-,-,2.624,131.21,-,None,11.79,4.81,7.22,7.16,12431600,None,None
MITK,Common Stock,Mitek Systems Inc,Mitek Systems Inc. develops markets and sells mobile imaging and digital identity verification solutions in the United States Europe Latin America and internationally. The company is headquartered in San Diego California.,807863,NASDAQ,USD,USA,TECHNOLOGY,COMPUTER PERIPHERAL EQUIPMENT NEC,8911 BALBOA AVE. SAN DIEGO CA US,September,2021-09-30,729580000,31872000,90.83,1.276,4.367,None,0,0.18,2.753,0.0666,0.194,0.0493,0.0491,119797000,105257000,0.18,-0.63,0.086,25.75,90.83,20.12,6.09,3.864,5.82,48.52,0.365,23.29,13.52,17.4,18.22,44622600,None,None
MITO,Common Stock,Stealth BioTherapeutics Corp,Stealth BioTherapeutics Corp a clinical-stage biotechnology company focuses on the discovery development and commercialization of therapies for diseases involving mitochondrial dysfunction. The company is headquartered in George Town the Cayman Islands.,1696396,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,190 ELGIN AVENUE GEORGE TOWN GRAND CAYMAN KY,December,2021-09-30,48847500,-75581952,None,None,0.046,None,0,-0.924,0.495,0,0,-0.831,-16.67,21087000,21087000,-0.924,0,0,3.5,-,-,3.031,36.57,3.557,-,1.773,2.58,0.675,0.916,1.259,57583000,None,None
MITQ,Common Stock,MOVING iMAGE TECHNOLOGIES INC.,None,1770236,NYSE MKT,USD,USA,LIFE SCIENCES,PHOTOGRAPHIC EQUIPMENT & SUPPLIES,17760 NEWHOPE STREET FOUNTAIN VALLEY CA UNITED STATES,June,2021-09-30,20315300,None,None,None,0.94,None,None,-0.116,0.843,-0.137,-0.193,-0.102,-0.285,8964000,1689000,-0.116,0,0.977,None,-,-,2.266,2.469,1.6,-,None,27.31,1.85,2.368,3.298,10636300,None,None
MITT,Common Stock,AG Mortgage Investment Trust Inc,AG Mortgage Investment Trust Inc. a real estate investment trust invests in a portfolio of securities backed by residential mortgages and credit investments in the United States. The company is headquartered in New York New York.,1514281,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,245 PARK AVENUE 26TH FLOOR NEW YORK NY US,December,2021-09-30,237489000,None,1.215,-6.53,16.92,0.69,0.0808,8.55,7.7,1.175,0.776,0.0771,0.304,114356000,-371642000,8.55,0.425,1.849,12.8,1.215,10.85,2.077,0.917,6.63,-,1.504,14.06,7.92,11.01,11.57,22857500,2022-01-31,2021-12-30
MIXT,Common Stock,MiX Telematics Limited,MiX Telematics Limited provides fleet and mobile asset management solutions through the software as a service (Saas) delivery model. The company is headquartered in Boca Raton Florida.,1576914,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,PO BOX 12326 VORNA VALLEY JOHANNESBURG ZA,March,2021-09-30,292215000,34489000,18.88,0.808,5.63,0.011,0.0226,0.625,6.33,0.0972,0.137,0.0729,0.117,139421000,83029000,0.625,-0.682,0.166,19.5,18.88,17.7,2.096,2.177,1.709,12.54,0.322,16.62,10.49,11.9,13.25,24257400,2021-12-02,2021-11-18
MKC,Common Stock,McCormick & Company Incorporated,McCormick & Company is an American multinational food company that manufactures markets and distributes spices seasoning mixes condiments and other flavoring products to retail outlets food manufacturers and foodservice businesses.,63754,NYSE,USD,USA,MANUFACTURING,MISCELLANEOUS FOOD PREPARATIONS & KINDRED PRODUCTS,24 SCHILLING ROAD SUITE 1 SUITE 1 HUNT VALLEY MD UNITED STATES,November,2021-08-31,25681480000,1258400000,34.06,5.74,16.41,1.33,0.0154,2.82,23.0,0.123,0.177,0.0574,0.182,6145500000,2300400000,2.82,0.039,0.083,88.96,34.06,28.57,4.179,5.52,4.784,24.27,0.483,98.09,77.55,88.25,87.02,249352000,2022-01-10,2021-12-30
MKD,Common Stock,Molecular Data Inc,Molecular Data Inc. operates in the chemical e-commerce business in the People's Republic of China. The company is headquartered in Shanghai the People's Republic of China.,1758736,NASDAQ,USD,China,TRADE & SERVICES,SERVICES-BUSINESS SERVICES NEC,11/F BUILDING 15 2177 SHENKUN ROAD SHANGHAI CHINA,December,2021-06-30,38354200,None,None,None,None,None,None,-0.27,31.1,-0.0554,-0.0574,-0.214,-49.36,4619349000,-10199000,-0.27,0,-0.671,None,-,-,0.0083,4.607,0.0028,0.0195,0.746,2.23,0.18,0.275,0.581,182726000,None,None
MKFG,Common Stock,Markforged Holding Corporation,None,1816613,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,16 FUNSTON AVENUE SUITE A THE PRESIDIO OF SAN FRANCISCO SAN FRANCISCO CA US,December,2021-09-30,1005454000,None,None,None,1.255,None,None,-0.049,1.224,-0.0308,-0.487,0,0,88921000,41930000,-0.049,0,0.538,10.4,-,-,11.31,-,-,-,None,15.1,4.72,6.24,8.46,185851000,None,None
MKL,Common Stock,Markel Corporation,Markel Corporation a diverse financial holding company markets and underwrites specialty insurance products in the United States Bermuda the United Kingdom rest of Europe Canada Latin America Asia Pacific and the Middle East. The company is headquartered in Glen Allen Virginia.,1096343,NYSE,USD,USA,FINANCE,FIRE MARINE & CASUALTY INSURANCE,4521 HIGHWOODS PARKWAY GLEN ALLEN VA US,December,2021-09-30,17150174000,3520432000,7.23,2.625,980.99,None,0,173.49,902.05,0.193,0.258,0.0462,0.183,12443970000,5038944000,173.49,-0.514,-0.077,1450,7.23,16.78,1.378,1.264,1.443,-,0.741,1343.56,942.44,1252.82,1229.89,13668200,None,None
MKSI,Common Stock,MKS Instruments Inc,MKS Instruments Inc. provides instruments systems subsystems and process control solutions that measure monitor deliver analyze power and control critical parameters of manufacturing processes globally. The company is headquartered in Andover Massachusetts.,1049502,NASDAQ,USD,USA,LIFE SCIENCES,INDUSTRIAL INSTRUMENTS FOR MEASUREMENT DISPLAY AND CONTROL,2 TECH DRIVE SUITE 201 ANDOVER MA US,December,2021-09-30,9372554000,798100000,18.17,0.61,49.16,0.84,0.0052,9.3,51.44,0.182,0.245,0.108,0.209,2845900000,1049500000,9.3,0.434,0.258,216.2,18.17,13.42,3.293,3.28,3.197,12.09,1.434,198.9,138.49,162.69,164.4,55459000,2021-12-10,2021-11-26
MKTW,Common Stock,MarketWise Inc. Class A Common Stock,None,1805651,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,667 MADISON AVENUE 5TH FLOOR NEW YORK NY US,December,2021-09-30,170785000,None,None,None,None,None,None,-55.51,20.25,-2.741,-2.692,0,0,509354000,209452000,-55.51,0,0.433,12.43,-,13.3,0.335,7.0,0.0551,-,None,16.97,5.56,7.03,8.89,25152500,None,None
MKTWW,Common Stock,MarketWise Inc. Warrant,None,1805651,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,667 MADISON AVENUE 5TH FLOOR NEW YORK NY US,December,2021-09-30,None,None,None,None,None,None,None,-2093.74,750.86,-2.788,-2.79,0,0,407511000,0,-2093.74,0,0.567,None,-,-,-,-,-,-,None,2.4,0.83,1.089,1.184,0,None,None
MKTX,Common Stock,MarketAxess Holdings Inc,MarketAxess Holdings Inc. (MarketAxess) is an international financial technology company that operates an electronic trading platform for the institutional credit markets and also provides market data and post-trade services.,1278021,NASDAQ,USD,USA,FINANCE,SECURITY BROKERS DEALERS & FLOTATION COMPANIES,55 HUDSON YARDS 15TH FLOOR NEW YORK NY US,December,2021-09-30,14402157000,401914000,51.81,4.468,27.75,2.58,0.007,7.31,18.82,0.395,0.507,0.156,0.285,705237000,498148000,7.31,-0.146,-0.012,415.11,51.81,48.31,20.42,13.9,20.3,34.96,0.399,585.93,341.5,387.69,442.75,38026500,2021-11-17,2021-11-02
MLAB,Common Stock,Mesa Laboratories Inc,Mesa Laboratories Inc. designs manufactures and markets quality control instruments and disposable products in the United States Europe Asia North America and internationally. The company is headquartered in Lakewood Colorado.,724004,NASDAQ,USD,USA,LIFE SCIENCES,INDUSTRIAL INSTRUMENTS FOR MEASUREMENT DISPLAY AND CONTROL,12100 W 6TH AVE LAKEWOOD CO US,March,2021-09-30,1596047000,29473000,320.51,0,76.47,0.64,0.0021,0.953,27.72,0.0356,0.0791,0.0118,0.0129,142896000,86578000,0.953,0.373,0.125,331.67,320.51,35.21,11.17,4.222,11.03,54.18,0.346,333.42,232.47,317.26,284.09,5225200,2022-03-15,2022-02-25
MLAC,Common Stock,Malacca Straits Acquisition Company Limited,Malacca Straits Acquisition Company Limited has no major business. The company is headquartered in Central Hong Kong.,1807594,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,WICKHAM CAY II ROAD TOWN TORTOLA KY,December,2021-09-30,180137000,None,None,None,0.286,None,None,-0.05,0,0,0,0,0,0,0,-0.05,49.55,0,None,-,-,-,1.341,-,-,None,10.5,9.66,9.98,9.93,14375000,None,None
MLACU,Common Stock,Malacca Straits Acquisition Company Limited,None,1807594,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,WICKHAM CAY II ROAD TOWN TORTOLA KY,December,2021-09-30,143750000,None,None,None,0.286,None,None,-0.05,0,0,0,0,0,0,0,-0.05,49.55,0,None,-,-,-,-,-,-,None,11.23,9.74,10.12,10.2,0,None,None
MLACW,Common Stock,Malacca Straits Acquisition Company Limited,Malacca Straits Acquisition Company Limited focuses on effecting a merger share exchange asset acquisition share purchase reorganization or similar business combination with one or more companies. The company is headquartered in Central Hong Kong.,1807594,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,WICKHAM CAY II ROAD TOWN TORTOLA KY,December,2021-09-30,177891000,None,None,None,None,None,None,None,0,0,0,0,-6.4,0,0,0,0,0,None,-,-,-,-,-,-,None,1.75,0.336,0,0,0,None,None
MLCO,Common Stock,Melco Resorts & Entertainment Limited,Melco Resorts & Entertainment Limited develops owns and operates casino gaming facilities and resorts in Asia and Europe. ,1381640,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,HOTELS & MOTELS,36TH FLOOR THE CENTRIUM. 60 WYNDHAM STREET CENTRAL HONG KONG. HK,December,2021-09-30,4633641000,17797800,None,7.52,0.909,0.165,0.0169,-1.785,4.307,-0.413,-0.28,-0.0403,-0.646,2059750000,183992000,-1.785,7.8,1.097,7.95,-,90.09,2.25,11.24,4.851,16.83,1.839,23.65,8.87,10.49,13.98,477203000,2020-03-12,2020-02-28
MLI,Common Stock,Mueller Industries Inc,Mueller Industries Inc. manufactures and sells copper brass aluminum and plastic products in the United States United Kingdom Canada South Korea the Middle East China and Mexico. The company is headquartered in Collierville Tennessee.,89439,NYSE,USD,USA,MANUFACTURING,ROLLING DRAWING & EXTRUDING OF NONFERROUS METALS,SUITE 100 150 SCHILLING BOULEVARD COLLIERVILLE TN US,December,2021-09-30,3406435000,543380000,8.88,0,19.31,0.49,0.0088,6.68,62.35,0.109,0.143,0.198,0.413,3488839000,431882000,6.68,2.961,0.587,100,8.88,-,0.976,2.983,0.959,5.9,1.236,62.92,33.68,57.9,47.53,57367000,2021-12-17,2021-12-02
MLM,Common Stock,Martin Marietta Materials Inc,Martin Marietta Materials Inc. is an American-based company. The company is a supplier of aggregates and heavy building materials with operations spanning 26 states Canada and the Caribbean. In particular Martin Marietta supplies the resources for roads sidewalks and foundations.,916076,NYSE,USD,USA,ENERGY & TRANSPORTATION,MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS),2710 WYCLIFF ROAD RALEIGH NC US,December,2021-09-30,26774313000,1436800000,36.84,1.415,101.86,2.32,0.0057,11.65,76.81,0.152,0.212,0.0524,0.12,4790800000,1256500000,11.65,-0.136,0.179,443.38,36.84,26.45,5.59,4.312,6.0,21.15,0.711,446.46,278.62,423.31,376.06,62382000,2021-12-31,2021-11-30
MLNK,Common Stock,MeridianLink Inc.,Steel Connect Inc. provides logistics and supply chain services to the consumer electronics communications computing medical device software storage retail and other industries. The company is headquartered in Waltham Massachusetts.,1834494,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,1600 SUNFLOWER AVENUE #200 COSTA MESA CA UNITED STATES,December,2021-09-30,1454263000,93783000,None,None,6.98,None,None,-0.378,2.39,-0.0422,0.176,0,0,257585000,149860000,-0.378,0,0.289,32.39,-,93.46,5.65,3.053,7.85,26.34,None,29,17.26,22.21,23.31,80479000,None,None
MLP,Common Stock,Maui Land & Pineapple Company Inc,Maui Land & Pineapple Company Inc. develops manages and sells residential tourist commercial agricultural and industrial real estate in the United States. The company is headquartered in Lahaina Hawaii.,63330,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE,200 VILLAGE ROAD LAHAINA HI US,December,2021-09-30,194184000,1776000,3330,0,1.151,None,0,0.003,0.597,0.0057,0.0384,0.0073,0.024,11545000,2614000,0.003,0,0.436,None,3330,-,16.82,8.92,17.25,106.18,0.762,12.8,9.24,10.14,10.62,19437800,None,2000-03-08
MLR,Common Stock,Miller Industries Inc,Miller Industries Inc. manufactures and sells towing and recovery equipment. The company is headquartered in Ooltewah Tennessee.,924822,NYSE,USD,USA,MANUFACTURING,TRUCK & BUS BODIES,8503 HILLTOP DR STE 100 OOLTEWAH TN US,December,2021-09-30,391843000,44815000,15.33,0,25.4,0.72,0.021,2.24,60.84,0.0368,0.049,0.0526,0.0909,694122000,78358000,2.24,-0.413,-0.022,21,15.33,-,0.565,1.332,0.485,7.54,1.004,46.88,31.51,34.54,38.04,11410700,2021-12-13,2021-12-03
MLSS,Common Stock,Milestone Scientific Inc,Milestone Scientific Inc. develops computer-controlled anesthetic delivery devices for the medical and dental markets in the United States China and internationally. The company is headquartered in Livingston New Jersey.,855683,NYSE MKT,USD,USA,LIFE SCIENCES,ORTHOPEDIC PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES,220 SOUTH ORANGE AVENUE LIVINGSTON NJ US,December,2021-09-30,141798000,-4536550,None,0,0.239,None,0,-0.095,0.134,-0.701,-0.727,-0.22,-0.429,9670700,3621300,-0.095,0,0.692,6,-,-,14.66,7.97,11.89,-,1.155,4.85,1.47,2.21,2.18,67846000,None,None
MLVF,Common Stock,Malvern Bancorp Inc,Malvern Bancorp Inc. is the banking holding company for Malvern Bank offering various banking products and services to consumers and business customers in Pennsylvania. The company is headquartered in Paoli Pennsylvania.,1550603,NASDAQ,USD,USA,FINANCE,SAVINGS INSTITUTION FEDERALLY CHARTERED,42 EAST LANCASTER AVENUE PAOLI PA US,September,2021-09-30,120128000,None,45.81,0,19.65,None,0,0.344,3.171,0.109,0.194,0.0022,0.0178,23881000,18910000,0.344,0.105,0.203,18,45.81,-,5.03,0.816,-,-,1.038,19.38,15.12,16.27,17.7,7622300,2011-01-20,2010-12-29
MMAT,Common Stock,Meta Materials Inc,Metamaterial Exchangeco Inc. a photonics and smart materials company invents designs develops and manufactures a variety of functional materials and nanocomposites. The company is headquartered in Dartmouth Canada.,1431959,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,CRUDE PETROLEUM & NATURAL GAS,5700 W. PLANO PARKWAY SUITE 3600 PLANO TX US,December,2021-09-30,683462000,None,None,None,1.282,None,None,-0.518,0.016,0,-10.37,-0.0596,-0.399,2136800,1404200,-0.518,0,1.889,6.55,-,-,319.85,-,-,-,None,21.76,2.37,3.635,4.611,281260000,None,None
MMC,Common Stock,Marsh & McLennan Companies Inc,Marsh McLennan (formerly known as Marsh & McLennan Companies) is a global professional services firm headquartered in New York City with businesses in insurance brokerage risk management reinsurance services talent management investment advisory and management consulting. Its four main operating companies are Marsh Guy Carpenter Mercer and Oliver Wyman.,62709,NYSE,USD,USA,FINANCE,INSURANCE AGENTS BROKERS & SERVICE,1166 AVENUE OF THE AMERICAS NEW YORK NY US,December,2021-09-30,82706850000,5345000000,30.97,2.487,19.26,2,0.0131,5.29,37.63,0.142,0.24,0.0872,0.295,19099001000,7434000000,5.29,0.694,0.155,178.92,30.97,25.64,4.33,8.91,5.15,19.61,0.934,175.12,105.35,168.04,150.37,504895000,2021-11-15,2021-10-07
MMI,Common Stock,Marcus & Millichap Inc,Marcus & Millichap Inc. an investment brokerage firm provides real estate investment brokerage and financing services to sellers and buyers of commercial real estate in the United States and Canada. The company is headquartered in Calabasas California.,1578732,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE AGENTS & MANAGERS (FOR OTHERS),23975 PARK SORRENTO SUITE 400 CALABASAS CA US,December,2021-09-30,1936180000,153919000,18.79,1.82,15.95,None,0,2.598,26.41,0.099,0.135,0.113,0.18,1051520000,269027000,2.598,4.6,1.096,40,18.79,-,1.841,2.978,1.489,8.78,0.878,52.25,32.67,47.78,41.08,39667700,None,None
MMLP,Common Stock,Martin Midstream Partners L.P,Martin Midstream Partners LP is engaged in the completion processing storage and packaging of petroleum products and by-products primarily in the Gulf Coast region of the United States. The company is headquartered in Kilgore Texas.,1176334,NASDAQ,USD,USA,TRADE & SERVICES,WHOLESALE-PETROLEUM BULK STATIONS & TERMINALS,4200 STONE ROAD KILGORE TX US,December,2021-09-30,116020000,94665000,None,12.84,0.047,0.02,0.0067,-0.343,20.08,-0.0171,0.0466,0.0365,0,776613000,131469000,-0.343,-0.727,0.385,3.5,-,-,0.149,-,0.862,6.83,2.719,3.664,1.537,2.911,2.894,38802800,2021-11-12,2021-11-04
MMM,Common Stock,3M Company,The 3M Company is an American multinational conglomerate corporation operating in the fields of industry worker safety US health care and consumer goods. The company produces over 60000 products under several brands including adhesives abrasives laminates passive fire protection personal protective equipment window films paint protection films dental and orthodontic products electrical and electronic connecting and insulating materials medical products car-care products electronic circuits healthcare software and optical films. It is based in Maplewood a suburb of Saint Paul Minnesota.,66740,NYSE,USD,USA,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,3M CENTER BLDG. 220-13E-26A ST PAUL MN US,December,2021-09-30,103696728000,10108000000,17.8,2.15,25.09,5.91,0.0329,10.11,60.91,0.168,0.232,0.11,0.448,35326001000,15685000000,10.11,0,0.071,184.63,17.8,17.12,2.935,7.06,3.265,11.88,0.954,204.19,158.35,177.83,190.26,576253000,2021-12-12,2021-11-18
MMMB,Common Stock,MamaMancini's Holdings Inc. Common Stock,MamaMancini's Holdings Inc. manufactures and distributes prepared frozen and refrigerated food products primarily in the United States. The company is headquartered in East Rutherford New Jersey.,1520358,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE OPERATORS (NO DEVELOPERS) & LESSORS,7985 113TH STREET SUITE 220 SEMINOLE FL US,January,2021-10-31,65783000,2939600,23.9,0,0.265,None,0,0.077,1.213,0.0635,0.0508,0.0988,0.366,43222600,12739300,0.077,-0.5,0.121,4.85,23.9,11.61,1.522,7.95,1.726,17.89,1.392,3.35,1.77,2.187,2.398,35751800,None,None
MMP,Common Stock,Magellan Midstream Partners L.P,Magellan Midstream Partners LP is engaged in the transportation storage and distribution of refined petroleum products and crude oil in the United States. The company is headquartered in Tulsa Oklahoma.,1126975,NYSE,USD,USA,ENERGY & TRANSPORTATION,PIPE LINES (NO NATURAL GAS),ONE WILLIAMS CENTER MD 28-1 TULSA OK US,December,2021-09-30,10149309000,1169781000,11.47,4.896,8.97,4.12,0.0873,4.145,11.64,0.356,0.358,0.0715,0.421,2587334000,1312728000,4.145,0.149,0.109,53.6,11.47,10.36,3.923,5.07,5.79,10.89,1.107,51.61,37.39,46.82,47.65,213445000,2021-11-12,2021-11-04
MMS,Common Stock,Maximus Inc,Maximus Inc. provides Business Process Services (BPS) to government health and human services programs worldwide. The company is headquartered in Reston Virginia.,1032220,NYSE,USD,USA,TRADE & SERVICES,SERVICES-BUSINESS SERVICES NEC,ATTN: TREASURY DEPT. 1891 METRO CENTER DRIVE RESTON VA US,September,2021-09-30,4799600000,496448000,16.59,2.072,23.89,1.12,0.0145,4.67,68.54,0.0685,0.0983,0.0851,0.214,4254485000,946975000,4.67,-0.188,0.197,110,16.59,18.25,1.128,3.225,1.492,12.98,0.778,95.1,73.99,80.38,86.18,61954000,2021-11-30,2021-11-12
MMSI,Common Stock,Merit Medical Systems Inc,Merit Medical Systems Inc. manufactures and markets disposable medical devices for interventional diagnostic and therapeutic procedures in cardiology radiology oncology intensive care and endoscopy. The company is headquartered in South Jordan Utah.,856982,NASDAQ,USD,USA,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,1600 WEST MERIT PARK WAY SOUTH JORDAN UT US,December,2021-09-30,3335568000,167506000,77.13,2.4,17.95,None,0,0.766,18.85,0.041,0.0766,0.0305,0.0444,1054263000,401177000,0.766,0,0.094,78.88,77.13,26.39,3.164,3.53,3.663,25.4,1.109,73.85,52.43,64.98,65.34,56459000,None,None
MMX,Common Stock,Maverix Metals Inc,Maverix Metals Inc. is a precious metals royalty and transmission company. The company is headquartered in Vancouver Canada.,1773250,NYSE MKT,USD,USA,ENERGY & TRANSPORTATION,GOLD AND SILVER ORES,510 BURRARD STREET SUITE 575 VANCOUVER BC CA,December,2021-09-30,596506000,40333000,23.92,None,2.534,0.045,0.0122,0.171,0.409,0.463,0.406,0.0402,0.0824,57616000,43159000,0.171,-0.822,-0.08,6.92,23.92,32.26,10.35,1.669,10.34,11.24,0.543,6.35,3.91,4.621,5.04,145845000,2021-12-15,2021-11-29
MMYT,Common Stock,MakeMyTrip Limited,MakeMyTrip Limited an online travel company sells travel products and solutions in India the United States Singapore Malaysia Thailand the United Arab Emirates Peru Colombia and Indonesia. The company is headquartered in Gurugram India.,1495153,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,TRANSPORTATION SERVICES,19TH FLOOR BUILDING NO.5 DLF CYBER CITY GURGAON IN,March,2021-09-30,2738768000,-129935000,None,-0.21,8.28,None,0,-0.303,2.194,-0.138,-0.155,-0.0194,-0.0376,236339000,31567000,-0.303,0,2.205,36.2,-,-,11.59,3.343,11.64,423.44,1.366,39.02,22.96,29.54,28.23,65065000,None,None
MN,Common Stock,Manning & Napier Inc,Manning & Napier Inc. is a publicly owned investment manager. The company is headquartered in Fairport New York with additional offices in Dublin Ohio; St. Petersburg Florida; and Chicago Illinois.,1524223,NYSE,USD,USA,FINANCE,INVESTMENT ADVICE,290 WOODCLIFF DRIVE FAIRPORT NY US,December,2021-09-30,152895000,32738000,7.65,-0.4,4.716,0.05,0.0242,1.082,8.2,0.161,0.219,0.124,0.319,141277000,43801000,1.082,1.204,0.171,3.5,7.65,-,1.082,1.715,0.547,2.458,2.999,10.19,5.78,8.38,8.4,18465600,2021-11-22,2021-11-05
MNDO,Common Stock,MIND C.T.I. Ltd,MIND CTI Ltd. designs develops markets supports implements and operates offline and real-time customer support and converged billing software solutions in the Americas Europe Israel Asia Pacific and Africa. The company is headquartered in Yokne'am Illit Israel.,1119083,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROGRAMMING SERVICES,INDUSTRIAL PARK BUILDING 7 YOQNEAM ILIT ISRAEL IL,December,2021-09-30,61956000,6728000,10.69,0,1.112,0.26,0.0839,0.29,1.311,0.222,0.25,0.133,0.266,26184000,12221000,0.29,0,0.184,None,10.69,-,2.366,2.731,1.766,6.87,0.89,3.8,2.248,3.119,3.141,19985800,2021-04-08,2021-03-17
MNDY,Common Stock,monday.com Ltd. Ordinary Shares,monday.com Ltd. develops and markets a team management platform for organizations and businesses. The company is headquartered in Tel Aviv-Yafo Israel with additional offices in New York New York; London United Kingdom; Sydney Australia; Miami Florida; and San Francisco California.,1845338,NASDAQ,USD,USA,TECHNOLOGY,GENERAL,NONE,December,2021-09-30,10378253000,None,None,None,16.08,None,None,-7.77,11.84,-0.607,-0.595,0,0,262747000,228821000,-7.77,0,0.949,428.2,-,-,39.5,19.09,48.46,-,None,450,155.01,327.85,305.91,43720000,None,None
MNKD,Common Stock,MannKind Corporation,MannKind Corporation a biopharmaceutical company focuses on the development and commercialization of inhaled therapeutics for endocrine and orphan lung diseases in the United States. The company is headquartered in Westlake Village California.,899460,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,30930 RUSSELL RANCH ROAD SUITE 300 WESTLAKE VILLAGE CA US,December,2021-09-30,1022612000,-52871000,None,-0.23,-1.035,None,0,-0.323,0.332,-0.974,-0.419,-0.128,0,81370000,40503000,-0.323,0,0.447,6.25,-,-,12.57,-,14.26,-,1.755,6.25,3.12,4.526,4.465,251256000,2017-03-03,None
MNMD,Common Stock,Mind Medicine (MindMed) Inc,Mind Medicine (MindMed) Inc. a psychedelic medicine biotechnology company discovers develops and deploys psychedelic-inspired medicines and therapies to address addiction and mental illness. The company is headquartered in New York New York.,1813814,NASDAQ,USD,USA,TECHNOLOGY,GENERAL,NONE,December,2021-09-30,517511000,None,None,None,0.394,None,None,-0.184,0,0,0,-0.549,-0.95,0,0,-0.184,0,0,8,-,-,-,-,-,-,None,5.77,1.2,1.98,2.722,420741000,2020-02-27,None
MNOV,Common Stock,MediciNova Inc,MediciNova Inc. a biopharmaceutical company focuses on developing novel and small molecule therapies for the treatment of serious diseases with unmet medical needs in the United States. The company is headquartered in La Jolla California.,1226616,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,4275 EXECUTIVE SQUARE SUITE 300 LA JOLLA CA US,December,2021-09-30,128003000,-16656604,None,-0.94,1.764,None,0,-0.232,0.085,-2.733,-2.756,-0.0823,-0.138,4037500,0,-0.232,0,0,16.5,-,-,31.7,1.741,18.75,-,1.281,10.81,2.57,3.152,3.809,49043200,None,None
